Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
BUENOS AIRES,Berisso,Villa Progreso,,,,SI,,,,SI,
BUENOS AIRES,Berisso,Villa San Carlos,,,,,SI,SI,,,
BUENOS AIRES,Berisso,Villa Zula,,,,,,,,,
BUENOS AIRES,Bolivar,Hale,SI,,,,,,SI,,
BUENOS AIRES,Bolivar,Juan F. Ibarra,,,,,,,,,
BUENOS AIRES,Bolivar,Mariano Unzue,,,,,,,,,
BUENOS AIRES,Bolivar,Paula,,,,,,,,,SI
BUENOS AIRES,Bolivar,Pirovano,,,,,,SI,SI,SI,
BUENOS AIRES,Bolivar,San Carlos de Bolivar (Est. Bolivar),SI,SI,SI,,SI,SI,SI,SI,
BUENOS AIRES,Bolivar,Urdampilleta,,,SI,,SI,SI,SI,SI,
BUENOS AIRES,Bolivar,Villa Lynch Pueyrredon,,,,,,,,,
BUENOS AIRES,Bragado,Asamblea,,,,,,,,,
CABA,COMUNA 12,VILLA URQUIZA,SI,SI,SI,SI,SI,SI,SI,SI,SI
CORDOBA,Rio Cuarto,Alpa Corral,,,,,SI,SI,,,
CORDOBA,Rio Cuarto,Berrotaran,SI,SI,,SI,SI,SI,SI,SI,
CORDOBA,Rio Cuarto,Bulnes,SI,,,,SI,SI,,,SI
CORDOBA,Rio Cuarto,Chajan,,,,SI,SI,SI,SI,,SI
CORDOBA,Rio Cuarto,Chucul,SI,,,SI,SI,SI,SI,SI,
CORDOBA,Rio Cuarto,Coronel Baigorria,,,,SI,SI,SI,,,
CHACO,San Lorenzo,Villa Berthet,,,,SI,SI,SI,,SI,SI
CHACO,Sargento Cabral,Capitan Solari,,,,SI,SI,SI,SI,SI,
